date,run,dataset,n_instances,n_fn_evaluable,file_top1,file_top1_voted,file_top3,file_top5,file_top10,file_top1_ci95_lo,file_top1_ci95_hi,fn_top1,fn_top3,fn_top5,fn_top10,elapsed_s,reranker,multi_anchor,local_filter
2026-07-01,sonnet5_both_max_cm99,cm99,99,91,0.7777777777777778,0.7171717171717171,0.8484848484848485,0.8585858585858586,0.8787878787878788,0.6863829656761375,0.8484200712272167,0.2087912087912088,0.32967032967032966,0.37362637362637363,0.4945054945054945,2027.59,llamacpp,full,soft_score
2026-06-18,glm52_both_low_cm99,cm99,99,91,0.6868686868686869,0.6464646464646465,0.8383838383838383,0.8484848484848485,0.8686868686868687,0.5899831082357886,0.769793480226468,0.23076923076923078,0.2857142857142857,0.34065934065934067,0.42857142857142855,1876.56,llamacpp,full,soft_score
2026-06-18,glm52_both_high_cm99,cm99,99,91,0.7373737373737373,0.696969696969697,0.8282828282828283,0.8383838383838383,0.8787878787878788,0.6429937858948775,0.8140197183679887,0.21978021978021978,0.31868131868131866,0.37362637362637363,0.4725274725274725,2062.88,llamacpp,full,soft_score
2026-06-18,cm99_opus_sdk_xhigh,cm99,99,91,0.5151515151515151,0.5555555555555556,0.7777777777777778,0.8383838383838383,0.8484848484848485,0.4179916540057243,0.6111794207344587,0.08791208791208792,0.12087912087912088,0.14285714285714285,0.1978021978021978,612.84,llamacpp,full,soft_score
2026-06-18,cm99_opus_sdk_max,cm99,99,91,0.8484848484848485,0.7676767676767676,0.8686868686868687,0.8686868686868687,0.8686868686868687,0.7649571422359811,0.905977576788227,0.23076923076923078,0.3076923076923077,0.3516483516483517,0.4175824175824176,1637.09,llamacpp,full,soft_score
2026-06-17,multi_anchor_v1_saturation-only,n114,114,102,0.6842105263157895,0.7280701754385965,0.8245614035087719,0.8596491228070176,0.9035087719298246,0.5940639890594854,0.7623466503072578,0.14705882352941177,0.21568627450980393,0.24509803921568626,0.28431372549019607,671.97,,,
2026-06-17,multi_anchor_v1_off,n114,114,102,0.6842105263157895,0.7192982456140351,0.8245614035087719,0.8596491228070176,0.9035087719298246,0.5940639890594854,0.7623466503072578,0.13725490196078433,0.21568627450980393,0.24509803921568626,0.28431372549019607,154.83,,,
2026-06-17,multi_anchor_v1_full,n114,114,102,0.6842105263157895,0.7280701754385965,0.8245614035087719,0.8596491228070176,0.9035087719298246,0.5940639890594854,0.7623466503072578,0.14705882352941177,0.21568627450980393,0.24509803921568626,0.28431372549019607,153.44,,,
2026-06-17,multi_anchor_v1_calls-only,n114,114,102,0.6842105263157895,0.7192982456140351,0.8245614035087719,0.8596491228070176,0.9035087719298246,0.5940639890594854,0.7623466503072578,0.13725490196078433,0.21568627450980393,0.24509803921568626,0.28431372549019607,161.27,,,
2026-06-17,multi_anchor_v1_5_saturation-only,n114,114,102,0.4298245614035088,0.47368421052631576,0.6140350877192983,0.6929824561403509,0.7105263157894737,0.34269963895219036,0.5215248793842885,0.029411764705882353,0.09803921568627451,0.13725490196078433,0.17647058823529413,214.78,,,
2026-06-17,multi_anchor_v1_5_off,n114,114,102,0.7017543859649122,0.7280701754385965,0.8245614035087719,0.868421052631579,0.8947368421052632,0.6123146161519669,0.7780398936306564,0.13725490196078433,0.22549019607843138,0.2549019607843137,0.29411764705882354,785.2,,,
2026-06-17,multi_anchor_v1_5_full,n114,114,102,0.4298245614035088,0.47368421052631576,0.6140350877192983,0.6929824561403509,0.7105263157894737,0.34269963895219036,0.5215248793842885,0.029411764705882353,0.09803921568627451,0.13725490196078433,0.17647058823529413,214.89,,,
2026-06-17,multi_anchor_v1_5_calls-only,n114,114,102,0.6842105263157895,0.6929824561403509,0.8157894736842105,0.868421052631579,0.8771929824561403,0.5940639890594854,0.7623466503072578,0.14705882352941177,0.22549019607843138,0.2647058823529412,0.28431372549019607,1693.69,,,
2026-06-15,likely_both_p80,cm99,99,91,0.7171717171717171,0.6767676767676768,0.8282828282828283,0.8484848484848485,0.8787878787878788,0.6216369977049233,0.796481740237699,0.12087912087912088,0.24175824175824176,0.27472527472527475,0.32967032967032966,536.12,llamacpp,full,soft_score
2026-06-15,likely_both_p60,cm99,99,91,0.7171717171717171,0.696969696969697,0.8484848484848485,0.8484848484848485,0.8787878787878788,0.6216369977049233,0.796481740237699,0.23076923076923078,0.32967032967032966,0.37362637362637363,0.45054945054945056,1004.61,llamacpp,full,soft_score
2026-06-15,likely_both_cm99,cm99,99,91,0.7373737373737373,0.7070707070707071,0.8282828282828283,0.8585858585858586,0.8686868686868687,0.6429937858948775,0.8140197183679887,0.23076923076923078,0.31868131868131866,0.3626373626373626,0.42857142857142855,984.83,llamacpp,full,soft_score
2026-06-15,gpt55dec_cm99,cm99,99,91,0.696969696969697,0.6666666666666666,0.8282828282828283,0.8686868686868687,0.8787878787878788,0.6004855409718445,0.7787384306505342,0.1978021978021978,0.26373626373626374,0.31868131868131866,0.3956043956043956,800.14,llamacpp,full,soft_score
2026-06-15,codex_both_cm99,cm99,99,91,0.7272727272727273,0.696969696969697,0.8383838383838383,0.8585858585858586,0.8787878787878788,0.632288909736815,0.8052772113659294,0.23076923076923078,0.3626373626373626,0.3956043956043956,0.43956043956043955,920.78,llamacpp,full,soft_score
2026-06-14,gpt55med_cm99,cm99,99,91,0.7070707070707071,0.6868686868686869,0.8181818181818182,0.8484848484848485,0.8787878787878788,0.6110363794739133,0.7876349753085872,0.18681318681318682,0.2857142857142857,0.32967032967032966,0.42857142857142855,760.0,llamacpp,full,soft_score
2026-06-14,c2augment_s1,n114,114,102,0.6929824561403509,0.6666666666666666,0.7631578947368421,0.8333333333333334,0.8596491228070176,0.6031723261159854,0.7702102484586981,0.17647058823529413,0.2549019607843137,0.29411764705882354,0.38235294117647056,4747.36,llamacpp,full,soft_score
2026-06-13,hyde_flatp1p2_sf4,n114,114,102,0.6666666666666666,0.6666666666666666,0.7982456140350878,0.8333333333333334,0.868421052631579,0.5759462411867157,0.746520527764147,0.16666666666666666,0.24509803921568626,0.2647058823529412,0.3431372549019608,5274.25,llamacpp,full,soft_score
2026-06-13,hyde_flatp1p2_sf3,n114,114,102,0.6929824561403509,0.6842105263157895,0.7894736842105263,0.7982456140350878,0.868421052631579,0.6031723261159854,0.7702102484586981,0.16666666666666666,0.22549019607843138,0.29411764705882354,0.3431372549019608,5430.28,llamacpp,full,soft_score
2026-06-13,hyde_flatp1p2_sf1,n114,114,102,0.6929824561403509,0.6666666666666666,0.8070175438596491,0.8245614035087719,0.868421052631579,0.6031723261159854,0.7702102484586981,0.16666666666666666,0.22549019607843138,0.2549019607843137,0.3431372549019608,5641.08,llamacpp,full,soft_score
2026-06-13,hyde_control_sf7,n114,114,102,0.6929824561403509,0.6929824561403509,0.8070175438596491,0.8245614035087719,0.8596491228070176,0.6031723261159854,0.7702102484586981,0.12745098039215685,0.20588235294117646,0.24509803921568626,0.30392156862745096,1579.81,llamacpp,full,soft_score
2026-06-13,hyde_control_sf6,n114,114,102,0.7105263157894737,0.6842105263157895,0.7894736842105263,0.8157894736842105,0.8596491228070176,0.6214916727333843,0.7858347722571792,0.1568627450980392,0.22549019607843138,0.2647058823529412,0.3431372549019608,1343.28,llamacpp,full,soft_score
2026-06-13,hyde_control_sf5,n114,114,102,0.6842105263157895,0.6578947368421053,0.8070175438596491,0.8333333333333334,0.8596491228070176,0.5940639890594854,0.7623466503072578,0.16666666666666666,0.21568627450980393,0.24509803921568626,0.3333333333333333,1724.58,llamacpp,full,soft_score
